name,email,province,city,date,letter,gifts
Heidi,heidi.m@yahoo.com,Manitoba,Winnipeg,2024-11-18,"Hello Santa,

My name is Heidi, and I come from Winnipeg, Manitoba.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a bicycle. And if it’s possible, I’d also really appreciate a Small Stoneware Vase.

Thanks for making Christmas magical!
With gratitude,
Heidi
","bicycle, Small Stoneware Vase"
Bryan,,Nova Scotia,Halifax,2024-11-09,"To Santa Claus,

My name is Bryan, and I live in Halifax, Nova Scotia.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a lego set. And if it’s not too much to ask, I would love a robot as well.

Thank you so much, Santa!
Warm regards,
Bryan
","lego set, robot"
Nathaniel,nathaniel2011@mail.com,Newfoundland and Labrador,Gander,2024-12-19,"Hey Santa!

What's up? It's Nathaniel here from Gander, Newfoundland and Labrador. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a LEGO Creator 3-in-1 Mighty Dinosaurs under the tree. Oh, and if you've got room in that sleigh, a lego set would be epic too!

You're the best, big guy!
Nathaniel
","LEGO Creator 3-in-1 Mighty Dinosaurs, lego set"
Crystal,crystal.miller@outlook.com,Northwest Territories,Inuvik,2024-11-29,"Santa, my dude!

Crystal here, repping Inuvik, Northwest Territories. I've been good(ish) this year, promise!
I'm crossing my fingers for a retro instant camera. And if you're feeling extra magical, a Wake Up Light Sunrise Alarm Clock would make my year!

You rock, Santa!
Crystal
","retro instant camera, Wake Up Light Sunrise Alarm Clock"
Jessica,jessica456@mail.com,Ontario,Toronto,2024-11-05,"Santa, my dude!

Jessica here, repping Toronto, Ontario. I've been good(ish) this year, promise!
I'm crossing my fingers for a Teenage Mutant Ninja Turtles Figures. And if you're feeling extra magical, a heated blanket with remote would make my year!

You rock, Santa!
Jessica
","Teenage Mutant Ninja Turtles Figures, heated blanket with remote"
Jamie,,Nova Scotia,Halifax,2024-11-04,"Dear S-Claus,

It's your pal Jamie from Halifax, Nova Scotia. I've been working on my nice game all year.
I'm really hoping for a Ceramic Piggybank Nursery Keepsake this Christmas. And hey, if you're in a giving mood, a compact sewing machine would be awesome too!

Thanks for being you!
Jamie
","Ceramic Piggybank Nursery Keepsake, compact sewing machine"
Meredith,,Northwest Territories,Inuvik,2024-11-08,"Dear Santa,

I hope this letter finds you well. My name is Meredith, and I live in Inuvik, Northwest Territories. 
This year, I've been on my best behavior. For Christmas, I would really love a foldable travel backpack. 
If you can, I would also be thrilled to receive a noise-cancelling headphones.

Thank you for all the joy you bring!
Sincerely,
Meredith
","foldable travel backpack, noise-cancelling headphones"
James,james789@outlook.com,Manitoba,Brandon,2024-12-03,"Dear S-Claus,

It's your pal James from Brandon, Manitoba. I've been working on my nice game all year.
I'm really hoping for a desktop bonsai tree kit this Christmas. And hey, if you're in a giving mood, a Apple iPad Air would be awesome too!

Thanks for being you!
James
","desktop bonsai tree kit, Apple iPad Air"
William,william.smith@hotmail.com,Manitoba,Winnipeg,2024-11-27,"Dear Santa Claus,

William here from Winnipeg, Manitoba. I've been working hard on being good this year.
I'm really excited about the possibility of getting a mini waffle maker. And if it's not too much to ask, a LEGO Star Wars Set would be incredible!

Thanks for spreading joy!
William
","mini waffle maker, LEGO Star Wars Set"
Gregory,,Quebec,Montreal,2024-11-16,"S-man!

What's crackin'? It's Gregory from Montreal, Quebec. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a color-changing smart light bulb. And if you're feeling extra jolly, a bicycle would be off the hook!

You're a legend, Santa!
Gregory
","color-changing smart light bulb, bicycle"
Jesse,jesse.red@yahoo.com,Alberta,Red Deer,2024-11-05,"S-man!

What's crackin'? It's Jesse from Red Deer, Alberta. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a video game. And if you're feeling extra jolly, a Live Christmas Tree (Norfolk Island Pine) would be off the hook!

You're a legend, Santa!
Jesse
","video game, Live Christmas Tree (Norfolk Island Pine)"
William,william.smith@outlook.com,Yukon,Watson Lake,2024-11-02,"Hi there, Santa!

It's William from Watson Lake, Yukon. I've been trying my best to stay on the nice list.
I'm really wishing for a portable bluetooth speaker this year. And if it's not too much, a Apple Watch would be amazing too!

Thanks for all you do!
William
","portable bluetooth speaker, Apple Watch"
Nicole,nicole.miller@outlook.com,Saskatchewan,Prince Albert,2024-11-09,"Hey Santa, what's good?

It's your buddy Nicole from Prince Albert, Saskatchewan. I've been trying to keep my cool all year.
I'm really hoping to score a personalized leather journal this Christmas. And if you've got any magic left, a multi-tool pocket knife would be sick!

Keep sleighing it, Santa!
Nicole
","personalized leather journal, multi-tool pocket knife"
David,david.let@outlook.com,Alberta,Lethbridge,2024-12-13,"Hi there, Santa!

It's David from Lethbridge, Alberta. I've been trying my best to stay on the nice list.
I'm really wishing for a Wake Up Light Sunrise Alarm Clock this year. And if it's not too much, a mini espresso maker would be amazing too!

Thanks for all you do!
David
","Wake Up Light Sunrise Alarm Clock, mini espresso maker"
Jennifer,jennifer.smith@outlook.com,Ontario,Mississauga,2024-12-24,"Hey Santa, what's good?

It's your buddy Jennifer from Mississauga, Ontario. I've been trying to keep my cool all year.
I'm really hoping to score a art supplies this Christmas. And if you've got any magic left, a Ceramic Piggybank Nursery Keepsake would be sick!

Keep sleighing it, Santa!
Jennifer
","art supplies, Ceramic Piggybank Nursery Keepsake"
Susan,susan789@hotmail.com,New Brunswick,Fredericton,2024-11-03,"Dear Santa Claus,

Hello! My name is Susan, and I live in Fredericton, New Brunswick.
I’ve been very kind and helpful this year. For Christmas, I would really like a multi-tool pocket knife.
It would also make me so happy to have a electric wine opener if you can manage it.

Thank you so much, Santa!
Yours truly,
Susan
","multi-tool pocket knife, electric wine opener"
Lauren,lauren123@yahoo.com,Newfoundland and Labrador,St. John's,2024-11-07,"Santa, my dude!

Lauren here, repping St. John's, Newfoundland and Labrador. I've been good(ish) this year, promise!
I'm crossing my fingers for a Yellow Dress-Up Set. And if you're feeling extra magical, a vintage-style typewriter keyboard would make my year!

You rock, Santa!
Lauren
","Yellow Dress-Up Set, vintage-style typewriter keyboard"
Mary,mary2018@hotmail.com,Quebec,Laval,2024-12-23,"Yo Santa!

Mary checking in from Laval, Quebec. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a desktop air purifier. And, if you're feeling extra jolly, a robot would blow my mind!

Stay frosty!
Mary
","desktop air purifier, robot"
Roberto,roberto789@mail.com,Saskatchewan,Saskatoon,2024-12-09,"Santa, my main man!

Roberto here, chillin' in Saskatoon, Saskatchewan. I've been keeping it real and staying good.
I'm dreaming of unwrapping a LEGO Creator 3-in-1 Mighty Dinosaurs on Christmas morning. And if you're feeling generous, a lego set would be the cherry on top!

You're the GOAT, Santa!
Roberto
","LEGO Creator 3-in-1 Mighty Dinosaurs, lego set"
Rachael,rachael2013@mail.com,Newfoundland and Labrador,St. John's,2024-12-06,"Dear Santa Claus,

Rachael here from St. John's, Newfoundland and Labrador. I've been working hard on being good this year.
I'm really excited about the possibility of getting a vintage-style typewriter keyboard. And if it's not too much to ask, a desktop air purifier would be incredible!

Thanks for spreading joy!
Rachael
","vintage-style typewriter keyboard, desktop air purifier"
Jeff,jeff456@gmail.com,Yukon,Watson Lake,2024-11-27,"Dear Santa Claus,

Jeff here from Watson Lake, Yukon. I've been working hard on being good this year.
I'm really excited about the possibility of getting a 3D printing pen. And if it's not too much to ask, a Apple iPad Air would be incredible!

Thanks for spreading joy!
Jeff
","3D printing pen, Apple iPad Air"
Laura,laura2016@gmail.com,British Columbia,Victoria,2024-11-15,"Hi there, Santa!

It's Laura from Victoria, British Columbia. I've been trying my best to stay on the nice list.
I'm really wishing for a foldable travel backpack this year. And if it's not too much, a Amazon Fire HD 10 Kids Pro would be amazing too!

Thanks for all you do!
Laura
","foldable travel backpack, Amazon Fire HD 10 Kids Pro"
Andrea,andrea.miller@mail.com,Prince Edward Island,Summerside,2024-11-28,"Dear Santa,

I hope this letter finds you well. My name is Andrea, and I live in Summerside, Prince Edward Island. 
This year, I've been on my best behavior. For Christmas, I would really love a heated blanket with remote. 
If you can, I would also be thrilled to receive a mini drone.

Thank you for all the joy you bring!
Sincerely,
Andrea
","heated blanket with remote, mini drone"
Ian,,Northwest Territories,Hay River,2024-11-15,"Hey Santa, what's good?

It's your buddy Ian from Hay River, Northwest Territories. I've been trying to keep my cool all year.
I'm really hoping to score a Rechargeable Hand Warmer this Christmas. And if you've got any magic left, a portable karaoke microphone would be sick!

Keep sleighing it, Santa!
Ian
","Rechargeable Hand Warmer, portable karaoke microphone"
Jennifer,jennifer.smith@hotmail.com,Alberta,Red Deer,2024-11-16,"Hi Santa!

Jennifer here, waving from Red Deer, Alberta. I've been trying my best to be good (most of the time).
I'm really hoping to find a portable projector under the tree. And if there's room in your bag, a portable campfire would be amazing!

Thanks for being awesome!
Jennifer
","portable projector, portable campfire"
Michelle,michelle123@mail.com,Northwest Territories,Hay River,2024-11-14,"Santa, my main man!

Michelle here, chillin' in Hay River, Northwest Territories. I've been keeping it real and staying good.
I'm dreaming of unwrapping a LEGO Batman Mech Armor on Christmas morning. And if you're feeling generous, a Small Stoneware Vase would be the cherry on top!

You're the GOAT, Santa!
Michelle
","LEGO Batman Mech Armor, Small Stoneware Vase"
Jesse,,Nova Scotia,Halifax,2024-11-05,"Santa, my dude!

Jesse here, repping Halifax, Nova Scotia. I've been good(ish) this year, promise!
I'm crossing my fingers for a wireless gaming mouse. And if you're feeling extra magical, a noise-cancelling headphones would make my year!

You rock, Santa!
Jesse
","wireless gaming mouse, noise-cancelling headphones"
Nicole,nicole.miller@hotmail.com,Ontario,Toronto,2024-11-12,"To Santa Claus,

My name is Nicole, and I live in Toronto, Ontario.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a desktop bonsai tree kit. And if it’s not too much to ask, I would love a mini waffle maker as well.

Thank you so much, Santa!
Warm regards,
Nicole
","desktop bonsai tree kit, mini waffle maker"
Jennifer,,Nova Scotia,Sydney,2024-11-25,"Hey Santa, what's good?

It's your buddy Jennifer from Sydney, Nova Scotia. I've been trying to keep my cool all year.
I'm really hoping to score a Live Christmas Tree (Norfolk Island Pine) this Christmas. And if you've got any magic left, a virtual reality headset would be sick!

Keep sleighing it, Santa!
Jennifer
","Live Christmas Tree (Norfolk Island Pine), virtual reality headset"
Alexandra,alexandra2015@yahoo.com,Prince Edward Island,Summerside,2024-12-02,"Hello Santa,

My name is Alexandra, and I come from Summerside, Prince Edward Island.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a Rainbow Loom Charm Bracelet Kit. And if it’s possible, I’d also really appreciate a Temporary Tattoo Markers Kit.

Thanks for making Christmas magical!
With gratitude,
Alexandra
","Rainbow Loom Charm Bracelet Kit, Temporary Tattoo Markers Kit"
Cheryl,,Yukon,Whitehorse,2024-12-09,"Hi Santa,

I'm Cheryl from Whitehorse, Yukon. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a Miniverse Make It Mini Food Kits. If it’s not too much trouble, I’d also love a Ceramic Piggybank Nursery Keepsake.

Happy Holidays, Santa!
Best wishes,
Cheryl
","Miniverse Make It Mini Food Kits, Ceramic Piggybank Nursery Keepsake"
Amy,amy.bra@mail.com,Ontario,Brampton,2024-11-22,"Dear Santa,

I hope this letter finds you well. My name is Amy, and I live in Brampton, Ontario. 
This year, I've been on my best behavior. For Christmas, I would really love a wireless charging pad. 
If you can, I would also be thrilled to receive a Skullcandy Dime 2 In-Ear Wireless Earbuds.

Thank you for all the joy you bring!
Sincerely,
Amy
","wireless charging pad, Skullcandy Dime 2 In-Ear Wireless Earbuds"
Heather,heather2010@gmail.com,Saskatchewan,Regina,2024-11-20,"Santa, my main man!

Heather here, chillin' in Regina, Saskatchewan. I've been keeping it real and staying good.
I'm dreaming of unwrapping a portable karaoke microphone on Christmas morning. And if you're feeling generous, a wireless gaming mouse would be the cherry on top!

You're the GOAT, Santa!
Heather
","portable karaoke microphone, wireless gaming mouse"
Lisa,lisa2016@gmail.com,Newfoundland and Labrador,Corner Brook,2024-11-16,"Yo Santa!

Lisa checking in from Corner Brook, Newfoundland and Labrador. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a electric wine opener. And, if you're feeling extra jolly, a retro instant camera would blow my mind!

Stay frosty!
Lisa
","electric wine opener, retro instant camera"
Lynn,lynn2015@outlook.com,Saskatchewan,Saskatoon,2024-12-01,"Dear Santa Claus,

It’s Lynn here from Saskatoon, Saskatchewan! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a Samsung Galaxy Tab A9+.
And if it’s okay, I’d also love a Squishmallows (Hello Kitty, Piplup, Adopt Me! Queen Bee) to make the holidays even more special.

Thanks so much, Santa!
Love,
Lynn
","Samsung Galaxy Tab A9+, Squishmallows (Hello Kitty, Piplup, Adopt Me! Queen Bee)"
Charles,,Manitoba,Winnipeg,2024-12-17,"Hi there, Santa!

It's Charles from Winnipeg, Manitoba. I've been trying my best to stay on the nice list.
I'm really wishing for a smart home assistant this year. And if it's not too much, a lego set would be amazing too!

Thanks for all you do!
Charles
","smart home assistant, lego set"
Kimberly,kimberly456@hotmail.com,Ontario,Mississauga,2024-11-20,"Hi Santa,

I'm Kimberly from Mississauga, Ontario. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a interactive storybook projector. If it’s not too much trouble, I’d also love a RC Controlled Paper Airplane Kit.

Happy Holidays, Santa!
Best wishes,
Kimberly
","interactive storybook projector, RC Controlled Paper Airplane Kit"
Kimberly,,Saskatchewan,Saskatoon,2024-11-04,"Hello Santa,

My name is Kimberly, and I come from Saskatoon, Saskatchewan.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a video game. And if it’s possible, I’d also really appreciate a Rainbow Loom Charm Bracelet Kit.

Thanks for making Christmas magical!
With gratitude,
Kimberly
","video game, Rainbow Loom Charm Bracelet Kit"
Benjamin,benjamin123@gmail.com,Newfoundland and Labrador,St. John's,2024-11-22,"Hello Santa,

My name is Benjamin, and I come from St. John's, Newfoundland and Labrador.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a vintage-style typewriter keyboard. And if it’s possible, I’d also really appreciate a multi-tool pocket knife.

Thanks for making Christmas magical!
With gratitude,
Benjamin
","vintage-style typewriter keyboard, multi-tool pocket knife"
David,,Newfoundland and Labrador,Corner Brook,2024-12-07,"Hey Santa!

What's up? It's David here from Corner Brook, Newfoundland and Labrador. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a wireless charging pad under the tree. Oh, and if you've got room in that sleigh, a scratch-off world map would be epic too!

You're the best, big guy!
David
","wireless charging pad, scratch-off world map"
Terry,,Saskatchewan,Regina,2024-12-14,"Hi there, Santa!

It's Terry from Regina, Saskatchewan. I've been trying my best to stay on the nice list.
I'm really wishing for a Ceramic Piggybank Nursery Keepsake this year. And if it's not too much, a e.l.f. Halo Glow Liquid Filter would be amazing too!

Thanks for all you do!
Terry
","Ceramic Piggybank Nursery Keepsake, e.l.f. Halo Glow Liquid Filter"
Gary,,Ontario,Toronto,2024-11-02,"Dear Santa Claus,

Hello! My name is Gary, and I live in Toronto, Ontario.
I’ve been very kind and helpful this year. For Christmas, I would really like a vintage-style typewriter keyboard.
It would also make me so happy to have a electric wine opener if you can manage it.

Thank you so much, Santa!
Yours truly,
Gary
","vintage-style typewriter keyboard, electric wine opener"
Don,don789@mail.com,Ontario,Ottawa,2024-12-21,"Santa, my main man!

Don here, chillin' in Ottawa, Ontario. I've been keeping it real and staying good.
I'm dreaming of unwrapping a Nintendo Switch Game on Christmas morning. And if you're feeling generous, a Minnie Mouse Hat and Mittens would be the cherry on top!

You're the GOAT, Santa!
Don
","Nintendo Switch Game, Minnie Mouse Hat and Mittens"
Christopher,,Ontario,Ottawa,2024-11-14,"S-man!

What's crackin'? It's Christopher from Ottawa, Ontario. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a RC Controlled Paper Airplane Kit. And if you're feeling extra jolly, a programmable LED message board would be off the hook!

You're a legend, Santa!
Christopher
","RC Controlled Paper Airplane Kit, programmable LED message board"
Katie,katie123@outlook.com,Nunavut,Cambridge Bay,2024-11-09,"Hi there, Santa!

It's Katie from Cambridge Bay, Nunavut. I've been trying my best to stay on the nice list.
I'm really wishing for a compact sewing machine this year. And if it's not too much, a desktop air purifier would be amazing too!

Thanks for all you do!
Katie
","compact sewing machine, desktop air purifier"
Amy,amy456@outlook.com,Quebec,Laval,2024-11-23,"Dear Santa Claus,

It’s Amy here from Laval, Quebec! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a wireless charging pad.
And if it’s okay, I’d also love a Transformers Authentics Optimus Prime to make the holidays even more special.

Thanks so much, Santa!
Love,
Amy
","wireless charging pad, Transformers Authentics Optimus Prime"
Cathy,cathy.ran@outlook.com,Nunavut,Rankin Inlet,2024-12-19,"Santa, my main man!

Cathy here, chillin' in Rankin Inlet, Nunavut. I've been keeping it real and staying good.
I'm dreaming of unwrapping a virtual reality headset on Christmas morning. And if you're feeling generous, a art supplies would be the cherry on top!

You're the GOAT, Santa!
Cathy
","virtual reality headset, art supplies"
Darren,darren.cal@gmail.com,Alberta,Calgary,2024-11-01,"Hello Santa,

My name is Darren, and I come from Calgary, Alberta.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a LEGO Sets. And if it’s possible, I’d also really appreciate a Funko POP! Figures (NBA, MLB, Marvel).

Thanks for making Christmas magical!
With gratitude,
Darren
","LEGO Sets, Funko POP! Figures (NBA, MLB, Marvel)"
Dustin,dustin2018@gmail.com,Yukon,Whitehorse,2024-12-08,"Dear Santa Claus,

Dustin here from Whitehorse, Yukon. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Teenage Mutant Ninja Turtles Figures. And if it's not too much to ask, a Apple Watch would be incredible!

Thanks for spreading joy!
Dustin
","Teenage Mutant Ninja Turtles Figures, Apple Watch"
Gary,gary.daw@gmail.com,Yukon,Dawson City,2024-11-12,"Hello Santa,

My name is Gary, and I come from Dawson City, Yukon.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a Amazon Fire HD 10 Kids Pro. And if it’s possible, I’d also really appreciate a doll.

Thanks for making Christmas magical!
With gratitude,
Gary
","Amazon Fire HD 10 Kids Pro, doll"
Amanda,amanda456@hotmail.com,Ontario,Brampton,2024-11-19,"Santa, my main man!

Amanda here, chillin' in Brampton, Ontario. I've been keeping it real and staying good.
I'm dreaming of unwrapping a Miniverse Make It Mini Food Kits on Christmas morning. And if you're feeling generous, a noise-cancelling headphones would be the cherry on top!

You're the GOAT, Santa!
Amanda
","Miniverse Make It Mini Food Kits, noise-cancelling headphones"
Justin,justin.let@outlook.com,Alberta,Lethbridge,2024-11-02,"Hello Santa,

My name is Justin, and I come from Lethbridge, Alberta.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a multi-tool pocket knife. And if it’s possible, I’d also really appreciate a Rechargeable Hand Warmer.

Thanks for making Christmas magical!
With gratitude,
Justin
","multi-tool pocket knife, Rechargeable Hand Warmer"
Kirk,kirk.mis@outlook.com,Ontario,Mississauga,2024-12-23,"Yo Santa!

Kirk checking in from Mississauga, Ontario. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a eco-friendly reusable notebook. And, if you're feeling extra jolly, a scratch-off world map would blow my mind!

Stay frosty!
Kirk
","eco-friendly reusable notebook, scratch-off world map"
Ryan,ryan.dar@yahoo.com,Nova Scotia,Dartmouth,2024-11-15,"Santa, my dude!

Ryan here, repping Dartmouth, Nova Scotia. I've been good(ish) this year, promise!
I'm crossing my fingers for a Harry Potter Crookshanks Plush. And if you're feeling extra magical, a personalized leather journal would make my year!

You rock, Santa!
Ryan
","Harry Potter Crookshanks Plush, personalized leather journal"
Francisco,,British Columbia,Vancouver,2024-12-10,"Santa, my main man!

Francisco here, chillin' in Vancouver, British Columbia. I've been keeping it real and staying good.
I'm dreaming of unwrapping a multi-tool pocket knife on Christmas morning. And if you're feeling generous, a heated blanket with remote would be the cherry on top!

You're the GOAT, Santa!
Francisco
","multi-tool pocket knife, heated blanket with remote"
Cheryl,cheryl.m@mail.com,Nunavut,Iqaluit,2024-11-15,"Santa, my main man!

Cheryl here, chillin' in Iqaluit, Nunavut. I've been keeping it real and staying good.
I'm dreaming of unwrapping a Teenage Mutant Ninja Turtles Figures on Christmas morning. And if you're feeling generous, a portable bluetooth speaker would be the cherry on top!

You're the GOAT, Santa!
Cheryl
","Teenage Mutant Ninja Turtles Figures, portable bluetooth speaker"
Rebecca,rebecca.cal@outlook.com,Alberta,Calgary,2024-11-24,"Hi there, Santa!

It's Rebecca from Calgary, Alberta. I've been trying my best to stay on the nice list.
I'm really wishing for a smart fitness tracker this year. And if it's not too much, a Furby Furblets would be amazing too!

Thanks for all you do!
Rebecca
","smart fitness tracker, Furby Furblets"
Gabriel,gabriel2014@yahoo.com,British Columbia,Vancouver,2024-11-02,"Dear Santa Claus,

Gabriel here from Vancouver, British Columbia. I've been working hard on being good this year.
I'm really excited about the possibility of getting a LEGO Creator 3-in-1 Mighty Dinosaurs. And if it's not too much to ask, a 3D printing pen would be incredible!

Thanks for spreading joy!
Gabriel
","LEGO Creator 3-in-1 Mighty Dinosaurs, 3D printing pen"
Timothy,,New Brunswick,Moncton,2024-12-23,"Santa, my main man!

Timothy here, chillin' in Moncton, New Brunswick. I've been keeping it real and staying good.
I'm dreaming of unwrapping a LEGO Creator 3-in-1 Mighty Dinosaurs on Christmas morning. And if you're feeling generous, a interactive storybook projector would be the cherry on top!

You're the GOAT, Santa!
Timothy
","LEGO Creator 3-in-1 Mighty Dinosaurs, interactive storybook projector"
